iter	Passed	Remaining
0	58	58440
1	58	29342
2	59	19615
3	59	14748
4	59	11837
5	59	9891
6	59	8505
7	60	7464
8	60	6651
9	60	6001
10	60	5469
11	61	5026
12	61	4652
13	61	4330
14	61	4049
15	61	3805
16	62	3592
17	62	3399
18	62	3228
19	62	3073
20	62	2933
21	63	2807
22	63	2690
23	63	2584
24	63	2486
25	63	2396
26	64	2312
27	64	2234
28	64	2164
29	64	2098
30	65	2034
31	65	1975
32	65	1919
33	65	1867
34	65	1817
35	66	1771
36	66	1727
37	66	1685
38	66	1646
39	67	1608
40	67	1572
41	67	1537
42	67	1504
43	67	1473
44	67	1443
45	68	1415
46	68	1387
47	68	1361
48	68	1336
49	69	1313
50	69	1289
51	69	1266
52	69	1245
53	69	1224
54	70	1204
55	70	1185
56	70	1166
57	70	1148
58	70	1131
59	71	1115
60	71	1098
61	71	1082
62	71	1067
63	71	1052
64	72	1037
65	72	1023
66	72	1010
67	72	997
68	73	985
69	73	973
70	73	961
71	73	949
72	73	938
73	74	927
74	74	917
75	74	906
76	74	896
77	74	886
78	75	876
79	75	866
80	75	857
81	75	848
82	75	837
83	76	829
84	76	820
85	76	812
86	76	804
87	76	796
88	77	788
89	77	780
90	77	773
91	77	765
92	77	758
93	77	751
94	78	744
95	78	738
96	78	731
97	78	725
98	78	718
99	79	712
100	79	706
101	79	700
102	79	694
103	79	688
104	80	683
105	80	677
106	80	672
107	80	667
108	81	662
109	81	657
110	81	651
111	81	647
112	81	642
113	82	637
114	82	633
115	82	628
116	82	623
117	82	619
118	83	614
119	83	610
120	83	606
121	83	601
122	83	597
123	83	593
124	84	589
125	84	585
126	84	582
127	84	579
128	85	575
129	85	572
130	85	569
131	85	565
132	86	561
133	86	558
134	86	555
135	86	552
136	87	549
137	87	545
138	87	542
139	87	539
140	88	536
141	88	533
142	88	529
143	88	526
144	88	523
145	89	521
146	89	518
147	89	515
148	89	512
149	89	509
150	90	507
151	90	504
152	90	501
153	90	498
154	90	495
155	91	493
156	91	490
157	91	488
158	91	485
159	91	482
160	92	479
161	92	477
162	92	474
163	92	472
164	92	470
165	93	468
166	93	465
167	93	463
168	93	461
169	94	459
170	94	457
171	94	454
172	94	452
173	94	450
174	95	448
175	95	446
176	95	444
177	95	442
178	95	440
179	96	437
180	96	435
181	96	433
182	96	431
183	96	429
184	97	427
185	97	426
186	97	424
187	97	422
188	97	420
189	98	418
190	98	416
191	98	415
192	98	413
193	99	411
194	99	409
195	99	408
196	99	406
197	99	404
198	100	402
199	100	401
200	100	399
201	100	398
202	100	396
203	101	394
204	101	393
205	101	391
206	101	389
207	101	388
208	102	386
209	102	385
210	102	384
211	102	382
212	103	381
213	103	380
214	103	378
215	103	377
216	104	375
217	104	374
218	104	372
219	104	371
220	104	370
221	105	368
222	105	367
223	105	365
224	105	364
225	105	362
226	106	361
227	106	360
228	106	359
229	106	358
230	107	356
231	107	355
232	107	354
233	107	353
234	108	351
235	108	350
236	108	349
237	108	348
238	109	347
239	109	346
240	109	344
241	109	343
242	109	342
243	110	341
244	110	339
245	110	338
246	110	337
247	110	336
248	111	335
249	111	334
250	111	333
251	111	331
252	111	330
253	112	329
254	112	328
255	112	327
256	112	326
257	112	324
258	113	323
259	113	322
260	113	321
261	113	320
262	113	319
263	114	318
264	114	317
265	114	316
266	114	314
267	114	313
268	115	312
269	115	311
270	115	310
271	115	309
272	115	308
273	116	307
274	116	306
275	116	305
276	116	304
277	116	303
278	117	302
279	117	301
280	117	300
281	117	299
282	117	298
283	118	297
284	118	296
285	118	295
286	118	294
287	118	293
288	119	292
289	119	292
290	119	291
291	119	290
292	119	289
293	120	288
294	120	287
295	120	286
296	120	285
297	120	284
298	121	283
299	121	283
300	121	282
301	121	281
302	122	280
303	122	280
304	122	279
305	122	278
306	122	277
307	123	276
308	123	275
309	123	275
310	123	274
311	124	273
312	124	272
313	124	272
314	124	271
315	124	270
316	125	269
317	125	268
318	125	267
319	125	267
320	125	266
321	126	265
322	126	264
323	126	264
324	126	263
325	126	262
326	127	261
327	127	260
328	127	260
329	127	259
330	128	258
331	128	258
332	128	257
333	128	256
334	128	255
335	129	255
336	129	254
337	129	253
338	129	252
339	129	252
340	130	251
341	130	250
342	130	249
343	130	249
344	130	248
345	131	247
346	131	247
347	131	246
348	131	245
349	131	244
350	132	244
351	132	243
352	132	242
353	132	242
354	132	241
355	133	240
356	133	240
357	133	239
358	133	238
359	133	237
360	134	237
361	134	236
362	134	236
363	134	235
364	135	234
365	135	234
366	135	233
367	135	232
368	135	232
369	135	231
370	136	230
371	136	230
372	136	229
373	136	229
374	137	228
375	137	227
376	137	227
377	137	226
378	137	225
379	138	225
380	138	224
381	138	223
382	138	223
383	138	222
384	139	222
385	139	221
386	139	220
387	139	220
388	139	219
389	140	219
390	140	218
391	140	217
392	140	217
393	140	216
394	141	216
395	141	215
396	141	214
397	141	214
398	141	213
399	142	213
400	142	212
401	142	212
402	142	211
403	143	211
404	143	210
405	143	210
406	143	209
407	144	208
408	144	208
409	144	207
410	144	207
411	144	206
412	145	206
413	145	205
414	145	205
415	145	204
416	145	203
417	146	203
418	146	202
419	146	202
420	146	201
421	146	201
422	147	200
423	147	200
424	147	199
425	147	199
426	148	198
427	148	198
428	148	197
429	148	197
430	149	196
431	149	196
432	149	195
433	149	195
434	149	194
435	150	194
436	150	193
437	150	193
438	150	192
439	151	192
440	151	191
441	151	191
442	151	190
443	151	190
444	152	189
445	152	189
446	152	188
447	152	188
448	152	187
449	153	187
450	153	186
451	153	186
452	153	185
453	154	185
454	154	184
455	154	184
456	154	183
457	154	183
458	155	182
459	155	182
460	155	181
461	155	181
462	156	181
463	156	180
464	156	180
465	156	179
466	157	179
467	157	178
468	157	178
469	157	177
470	157	177
471	158	176
472	158	176
473	158	175
474	158	175
475	158	174
476	159	174
477	159	174
478	159	173
479	159	173
480	160	172
481	160	172
482	160	171
483	160	171
484	161	171
485	161	170
486	161	170
487	161	169
488	162	169
489	162	168
490	162	168
491	162	168
492	163	167
493	163	167
494	163	166
495	163	166
496	163	165
497	164	165
498	164	164
499	164	164
500	164	163
501	164	163
502	165	163
503	165	162
504	165	162
505	165	161
506	166	161
507	166	161
508	166	160
509	166	160
510	166	159
511	167	159
512	167	158
513	167	158
514	167	158
515	168	157
516	168	157
517	168	156
518	168	156
519	168	155
520	169	155
521	169	155
522	169	154
523	169	154
524	170	153
525	170	153
526	170	153
527	170	152
528	170	152
529	171	151
530	171	151
531	171	150
532	171	150
533	172	150
534	172	149
535	172	149
536	172	148
537	172	148
538	173	148
539	173	147
540	173	147
541	173	146
542	174	146
543	174	146
544	174	145
545	174	145
546	175	144
547	175	144
548	175	144
549	175	143
550	175	143
551	176	142
552	176	142
553	176	142
554	176	141
555	176	141
556	177	140
557	177	140
558	177	139
559	177	139
560	177	139
561	178	138
562	178	138
563	178	138
564	178	137
565	178	137
566	179	136
567	179	136
568	179	136
569	179	135
570	180	135
571	180	134
572	180	134
573	180	134
574	180	133
575	180	133
576	181	132
577	181	132
578	181	132
579	181	131
580	181	131
581	182	130
582	182	130
583	182	130
584	182	129
585	182	129
586	183	128
587	183	128
588	183	128
589	183	127
590	183	127
591	184	126
592	184	126
593	184	126
594	184	125
595	184	125
596	185	124
597	185	124
598	185	124
599	185	123
600	185	123
601	186	123
602	186	122
603	186	122
604	186	121
605	186	121
606	187	121
607	187	120
608	187	120
609	187	119
610	187	119
611	188	119
612	188	118
613	188	118
614	188	118
615	188	117
616	189	117
617	189	117
618	189	116
619	189	116
620	189	115
621	190	115
622	190	115
623	190	114
624	190	114
625	190	114
626	191	113
627	191	113
628	191	112
629	191	112
630	191	112
631	192	111
632	192	111
633	192	111
634	193	111
635	193	110
636	193	110
637	193	110
638	194	109
639	194	109
640	194	108
641	194	108
642	194	108
643	195	107
644	195	107
645	195	107
646	195	106
647	195	106
648	196	106
649	196	105
650	196	105
651	196	105
652	196	104
653	197	104
654	197	103
655	197	103
656	197	103
657	197	102
658	198	102
659	198	102
660	198	101
661	198	101
662	198	101
663	199	100
664	199	100
665	199	100
666	199	99
667	199	99
668	200	99
669	200	98
670	200	98
671	200	97
672	200	97
673	201	97
674	201	96
675	201	96
676	201	96
677	201	95
678	202	95
679	202	95
680	202	94
681	202	94
682	202	94
683	203	93
684	203	93
685	203	93
686	203	92
687	203	92
688	204	92
689	204	91
690	204	91
691	204	91
692	205	90
693	205	90
694	205	90
695	205	89
696	205	89
697	206	89
698	206	88
699	206	88
700	206	88
701	206	87
702	206	87
703	207	87
704	207	86
705	207	86
706	207	86
707	207	85
708	208	85
709	208	85
710	208	84
711	208	84
712	208	84
713	209	83
714	209	83
715	209	83
716	209	82
717	209	82
718	210	82
719	210	81
720	210	81
721	210	81
722	210	80
723	211	80
724	211	80
725	211	79
726	211	79
727	211	79
728	212	78
729	212	78
730	212	78
731	212	77
732	212	77
733	213	77
734	213	76
735	213	76
736	213	76
737	213	75
738	213	75
739	214	75
740	214	74
741	214	74
742	214	74
743	214	73
744	215	73
745	215	73
746	215	73
747	215	72
748	216	72
749	216	72
750	216	71
751	216	71
752	216	71
753	217	70
754	217	70
755	217	70
756	217	69
757	217	69
758	218	69
759	218	68
760	218	68
761	218	68
762	218	67
763	218	67
764	219	67
765	219	67
766	219	66
767	219	66
768	219	66
769	220	65
770	220	65
771	220	65
772	221	64
773	221	64
774	221	64
775	221	64
776	221	63
777	222	63
778	222	63
779	222	62
780	222	62
781	223	62
782	223	61
783	223	61
784	223	61
785	223	60
786	224	60
787	224	60
788	224	60
789	224	59
790	224	59
791	225	59
792	225	58
793	225	58
794	225	58
795	225	57
796	226	57
797	226	57
798	226	56
799	226	56
800	226	56
801	227	56
802	227	55
803	227	55
804	227	55
805	227	54
806	228	54
807	228	54
808	228	53
809	228	53
810	228	53
811	229	53
812	229	52
813	229	52
814	229	52
815	229	51
816	230	51
817	230	51
818	230	50
819	230	50
820	230	50
821	231	50
822	231	49
823	231	49
824	231	49
825	231	48
826	232	48
827	232	48
828	232	47
829	232	47
830	232	47
831	233	47
832	233	46
833	233	46
834	233	46
835	233	45
836	234	45
837	234	45
838	234	44
839	234	44
840	234	44
841	235	44
842	235	43
843	235	43
844	235	43
845	236	42
846	236	42
847	236	42
848	236	42
849	237	41
850	237	41
851	237	41
852	237	40
853	237	40
854	238	40
855	238	40
856	238	39
857	238	39
858	239	39
859	239	38
860	239	38
861	239	38
862	239	38
863	240	37
864	240	37
865	240	37
866	240	36
867	240	36
868	241	36
869	241	36
870	241	35
871	241	35
872	241	35
873	242	34
874	242	34
875	242	34
876	242	34
877	242	33
878	243	33
879	243	33
880	243	32
881	243	32
882	243	32
883	243	32
884	244	31
885	244	31
886	244	31
887	244	30
888	244	30
889	245	30
890	245	30
891	245	29
892	245	29
893	245	29
894	246	28
895	246	28
896	246	28
897	246	28
898	246	27
899	247	27
900	247	27
901	247	26
902	247	26
903	247	26
904	248	26
905	248	25
906	248	25
907	248	25
908	248	24
909	249	24
910	249	24
911	249	24
912	249	23
913	249	23
914	250	23
915	250	22
916	250	22
917	250	22
918	250	22
919	251	21
920	251	21
921	251	21
922	251	20
923	251	20
924	252	20
925	252	20
926	252	19
927	252	19
928	253	19
929	253	19
930	253	18
931	254	18
932	254	18
933	254	17
934	254	17
935	254	17
936	255	17
937	255	16
938	255	16
939	255	16
940	255	16
941	256	15
942	256	15
943	256	15
944	256	14
945	256	14
946	257	14
947	257	14
948	257	13
949	257	13
950	257	13
951	258	13
952	258	12
953	258	12
954	258	12
955	258	11
956	258	11
957	259	11
958	259	11
959	259	10
960	259	10
961	260	10
962	260	9
963	260	9
964	260	9
965	261	9
966	261	8
967	261	8
968	261	8
969	261	8
970	261	7
971	262	7
972	262	7
973	262	7
974	262	6
975	262	6
976	263	6
977	263	5
